name,team,minutes,xP,influence,ict_index,threat,creativity,bps,expected_goal_involvements,transfers_in,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_total_points
James McConnell,Liverpool,0.0,0.775,0.0,0.0,0.0,0.0,0.0,0.0,410.85,0.0,0.0,0.0,1.0,25,0.0
James Milner,Brighton,8.047619047619047,0.2,1.3619047619047617,0.5095238095238095,0.5714285714285714,3.157142857142857,1.1428571428571428,0.014761904761904763,221.1904761904762,0.0,0.0,0.0,1.0,25,0.62
James Tarkowski,Everton,89.55,3.0949999999999998,24.7,3.7299999999999995,6.6,5.8149999999999995,12.65,0.101,9883.1,1.0,0.0,0.0,0.0,25,1.93
James Ward-Prowse,Nott'm Forest,20.842105263157894,0.4263157894736842,3.2421052631578946,0.7526315789473683,0.5789473684210527,3.689473684210526,3.210526315789474,0.044736842105263165,1288.4736842105262,0.0,0.0,0.0,1.0,25,1.0
James Ward-Prowse,West Ham,8.0,1.4,1.7,0.25,0.0,0.7,1.5,0.0,1342.0,0.0,0.0,0.0,1.0,25,0.98
Jamie Vardy,Leicester,73.85714285714286,3.4095238095238094,14.609523809523811,4.3619047619047615,21.095238095238095,8.09047619047619,13.047619047619047,0.4442857142857143,115835.57142857143,0.0,1.0,0.0,0.0,25,3.56
Jan Bednarek,Southampton,72.0,0.6047619047619048,20.514285714285716,2.3666666666666667,0.7619047619047619,2.4666666666666663,7.476190476190476,0.037619047619047614,23230.285714285714,1.0,0.0,0.0,0.0,25,1.51
Jan Paul van Hecke,Brighton,76.66666666666667,1.8666666666666667,18.8,3.0571428571428574,3.9523809523809526,7.809523809523809,11.904761904761905,0.07761904761904762,9521.809523809523,1.0,0.0,0.0,0.0,25,1.94
Jannik Vestergaard,Leicester,48.57142857142857,0.20476190476190476,11.295238095238094,1.4047619047619047,1.5238095238095237,1.1238095238095238,3.380952380952381,0.005714285714285714,11254.238095238095,1.0,0.0,0.0,0.0,25,0.55
Jarell Quansah,Liverpool,11.25,0.9949999999999999,2.98,0.345,0.2,0.24,1.1,0.006500000000000001,12327.3,1.0,0.0,0.0,0.0,25,0.99
Jarrad Branthwaite,Everton,49.8,1.8649999999999998,9.629999999999999,1.3,2.25,1.075,8.65,0.024,4642.95,1.0,0.0,0.0,0.0,25,0.65
Jarrod Bowen,West Ham,78.85714285714286,4.085714285714285,21.714285714285715,7.561904761904763,28.952380952380953,25.076190476190476,16.61904761904762,0.43238095238095237,54686.90476190476,0.0,0.0,0.0,1.0,25,2.83
Jason Steele,Brighton,8.571428571428571,0.44761904761904764,1.923809523809524,0.1952380952380952,0.0,0.0,2.1904761904761907,0.0,14110.0,0.0,0.0,1.0,0.0,25,0.79
Jay Stansfield,Fulham,0.047619047619047616,0.11428571428571428,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,222.52380952380952,0.0,1.0,0.0,0.0,25,0.0
Jayce Fitzgerald,Man Utd,0.0,-0.11666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,38.166666666666664,0.0,0.0,0.0,1.0,25,0.0
Jayden Danns,Liverpool,0.0,1.3666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,840.3333333333334,0.0,1.0,0.0,0.0,25,0.0
